,pdbid,smiles
11564,1e6q,c12[C@@H]([C@H]([C@@H]([C@@H](CO)n1[nH]nn2)O)O)O
1865,4mq2,[n]1c([n]c2[nH]c(=O)c(cc2c1)C(=O)Nc1c(ccc(C(=O)OC)c1)Cl)OC
9829,1k1o,C(=O)(NCCC[NH]=[C+](=[NH2])=[NH2])[C@H]1N(CCCC1)C(=O)[C@@H](CC1CCCCC1)[NH2+]C[C-](=O)=O
3884,4zg6,[C-](=O)(=O)c1ccc(cc1)/C(=C/c1c2ccc(Cl)cc2n(Cc2ccc(cc2)F)c1)/C#N
10083,3h89,C(C(=O)N[C@H](C(=O)N[C@H](CCC[NH]=[C+](=[NH2])=[NH2])C(=O)N[C@H](C(=O)NCCC1CCCCC1)C[C@@H]1CCC(=O)C=C1)C/C=C\CNC(=O)Cc1ccc(cc1)[C@@H]1CC=CC=C1)[C@@H]1C=C[C@@H](CC1)[C@@H]1CCCC=C1
3066,4nwm,c1cc(c(c(c1)NC(=O)c1ccc(cc1)C(C)(C)C)C)c1[n]c2c(c([n]1)Nc1ccc(cc1)C(=O)N1CCOCC1)[nH]cn2
2845,1d8f,S(=O)(=O)(c1ccc(cc1)OC)N1[C@H](CN(CC1)C(=O)OCc1ccccc1)C(=O)NO
10335,4tkj,[C-](=O)(=O)CCCCCCCCCCC/C=C/CC
2472,2yis,CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(c4ccccc4SCCO)n3c2)n(n1)c1ccc(O)c(Cl)c1
11190,3d6p,c1(=O)ccn([C@@H]2O[C@@H](C[NH+]3CCOCC3)[C@H](O)[C@H]2O)c(=O)[nH]1
7153,4o4r,O=[P](=O)(=O)OCc1c(C=O)c(O)c(C)nc1/N=N/c1cc2c([S](=O)(=O)=O)cc(N(=O)=O)cc2c([S](=O)(=O)=O)c1
2105,3emg,C[C@@H](CO)NC(=O)c1sc(nc1C)c1cc[n]c(Nc2cc(C)cc(C)c2)[n]1
1319,4j24,[NH3+][C@H](C(=O)N[C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CC(=O)N)CCC(=O)N)CC(C)C)CC(C)C)Cc2nc[nH]c2)CCC[NH]=[C+](=[NH2])=[NH2])CC(C)C)CC(C)C)CC(C)C)CCC1)Cc1nc[nH]c1)CCC[NH]=[C+](=[NH2])=[NH2]
5504,3v2o,[NH3+][C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N3[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CO)CC(C)C)CO)CCC3)CC(C)C)CCCC[NH3+])CCC2)CC(C)C)[C@H](O)C)CCC1)C
7150,4o45,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)C)C)[C@H](O)C)CCC[NH]=[C+](=[NH2])=[NH2])C
7969,3tv7,O=C(N[C@H](C)c1cccc(OC)c1)Nc1nc(c2cc[n]cc2)cs1
10183,2y5g,Clc1ccc(s1)c1oc(nc1)[C@@H]1[N@@H+]2[C@@H](CCC2)[C@H]2[C@@H]1C(=O)N(C2=O)CCC[N+](C)(C)C
9591,1hms,C([C-](=O)=O)CCCCCC/C=C\CCCCCCCC
1402,4nhc,C(=O)(C)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@]1(CCCCCC[C@@](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CCCC[NH3+])CCCC[NH3+])CCCC[NH3+])CCCC[NH3+])[C@H](CC)C)(NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CC(C)C)Cc1c[nH]c2c1cccc2)C)C)CC(=O)N)[C@H](O)C)[C@H](CC)C)CC(=O)N)Cc1ccccc1)Cc1c[nH]c2c1cccc2)CC(=O)N
4297,3btj,c1cccc2c1N([C@@H](C=C2N)C)CCCCCCCCCCN1c2c([C@H](C=C1C)[NH3+])cccc2
1722,4pml,Nc1cc(ccc1)C(=O)N
5219,3hf6,O=[C-](=O)[C@@H]([NH3+])Cc1ccc(cc1)c1[n]c([n]c(N)[n]1)N[C@H](C)c1ccc2ccccc2c1
8743,2gmv,O=S(=O)(c1cn(C)cn1)Nc1ccc(cc1)Cc1nc2c(=O)n(c(=O)n(c2[nH]1)CCCC)Cc1c(F)cccc1
10772,1q54,O[C@](CBr)(C)CCOP(=O)(=O)O[P](=O)(=O)=O
2213,4yz9,c1cc(ccc1C)CNC(=O)N1CCC[C@]2(CC[N@H+](C2)Cc2ccc(c(c2)Cl)Cl)C1
8900,2xzg,c1cc(N)ccc1Cn1c(=O)c2c3c(cc(c2)[S](=O)(=O)=O)cccc3c1=O
2260,4fjz,Cc1c(N2CC3(CCOCC3)c3c2cc(c[n]3)N2CCOCC2)c2ccc(F)cc2[n]c1c1cccc[n]1
360,3n0h,c1[n]c(N)[n]c(N)c1Cc1cc(OC)c(OC)c(OC)c1
2077,2gvz,C/N=C/1\CCCC=C1C(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c2ncnc3N)O[C@@H]1COP(=O)(=O)OP(=O)(=O)O[P](=O)(=O)=O
7848,4op3,c1ccccc1Nc1[n]c(S(=O)(=O)c2ccc(N)[n]c2)ccc1c1ccc(c[n]1)[C@](C(F)(F)F)(C)O
5895,1qs4,n1nc(n[nH]1)C(=O)CC(=O)c1c2cc(ccc2[nH]c1)Cl
7179,4xua,Cc1cn(nn1)CCn1cnc(c2ccccc2)c1c1ccc(C#N)cc1
1716,4pkw,ONC(=O)C[C@H](C(=O)N[C@H](C(=O)NC)Cc1c[nH]c2ccccc12)CC(C)C
8895,4man,c1cc(c2ccc(Cl)cc2)c(c(c1)OCC[NH+](C)C)C[NH+]1CCN(c2ccc(c(c2)Oc2ccc3c(cc[nH]3)c2)C(=O)NS(=O)(=O)c2ccc(c(c2)N(=O)=O)NCC2CCOCC2)CC1
2427,4az0,Cc1ccccc1[C@H](C[C-](=O)=O)NC(=O)c1nn(c(c1)O)c1ccccc1F
3470,1w0y,[C+](=[NH2])(=[NH2])c1ccc(NCc2c(cc(OCc3ccccc3)c(c2)OC)NS(=O)(=O)C)cc1
7588,1hdt,C(=O)(CCC[NH]=[C+](=[NH2])=[NH2])N[C@H](C(=O)N[C@@H]([C@H](C)O)C(=O)N[C@H]([C-](=O)=O)Cc1ccccc1)Cc1ccccc1
6971,3cid,Fc1cc(F)cc(C[C@H](NC(=O)c2cc(cc(c2)C)C(=O)N(CCC)CCC)[C@H](O)[C@@H]2[NH2+]CN(C2=O)Cc2ccccc2)c1
4200,3exf,n1c(C)nc(N)c(c1)Cn1csc(c1C)CCOP(=O)(=O)O[P](=O)(=O)=O
8350,3wtk,c1cc(Cl)[n]cc1CN1CCS/C/1=N\C#N
3085,4o13,c1cc(cc(c1)S(=O)(=O)c1ccc(cc1)CNC(=O)c1cc2cn[nH]c2[n]c1)C(F)(F)F
9865,3bl0,CN(C)c1sc(nn1)CS(=O)(=O)N
7798,3p2k,[NH3+][C@H]([C-](=O)=O)CC[S@](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)[n]c[n]c12
6892,4mrf,C1Cc2ccccc2C[NH2+]1
5990,4acx,COCC#Cc1cccc(c1)[C@@]1(C2=NCC(CN2[C+](=[NH2])N1)(F)F)c1ccc(cc1)OC(F)F
5440,2za3,n1(c(=O)[nH]c(=O)cc1)[C@H]1[C@H](O)[C@@H]([C@H](O1)CO[P](=O)(=O)=O)O
7761,4k3r,[C@H](O)(C)[NH2+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)C)CC(C)C)C[C-](=O)=O)CC(C)C)CCC(=O)N
10549,1ik4,C(=O)(CO[P](=O)(=O)=O)NO
10229,3u6h,[n]1c2c(cc(c(OC)c2)OC)c(cc1)Oc1c(cc(cc1)NC(=O)[C@H]1C(=[N](C)N(C1=O)c1ccccc1)C)F
10279,4ynl,[NH3+][C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H]([C-](=O)=O)CCC[NH]=[C+](=[NH2])=[NH2])CO)CCC[NH]=[C+](=[NH2])=[NH2])CC[C-](=O)=O
8176,2e9o,C[C@@H]1CC[C@@H](CC1)[NH2+]Cc1cc2c(cc1)c1c(C2)c([nH]n1)c1ccc(cc1)[C-](=O)=O
2508,3q5h,[C@@H](c1cc(ccc1)Cl)(OCCNC(=O)OC)[C@@H]1CCCN(C(=O)N[C@H](C[NH2+]C)C[C@H]2CCCOC2)C1
6620,2oc4,c1(c[nH]c2c(=O)[nH]cnc12)[C@@H]1[NH2+][C@H](CO)[C@@H](O)[C@H]1O
1074,2isv,C(=O)(CO[P](=O)(=O)=O)NO
6217,2rc9,C1CC1([C-](=O)=O)[NH3+]
7507,4uia,C1CCCCC1C[C@H](C(=O)NCCC(C)C)NC(=O)N[C@H]([C-](=O)=O)CCCC[NH3+]
2620,3as2,n1(c(=O)c2c(n(c1=O)C)ncn2CCC)CCCCC(=O)C
9901,3kgu,c1c(O)cc(O)c2c(=O)c(coc12)c1ccc(O)cc1
256,3rxj,[C-](=O)(=O)c1ccc(cc1)[NH]=[C+](=[NH2])=[NH2]
9113,4bcq,CNc1nc(C)c(c2[n]c(Nc3cccc(C(=O)N4CCOCC4)c3)[n]cc2C#N)s1
8936,2a3b,n1(c(=O)n(C)c2c(c1=O)n(cn2)C)C
5396,3b28,C1OCc2cccc3c2c1cc(Cl)c3c1[n]c([n]c([n]1)N)SC
4007,2gbi,c12c(nc(N3CCC[C@H](C3)[NH3+])n2Cc2ccccc2C#N)n(c(=O)n(C)c1=O)C
6268,4ke1,C1CCC21C[C@@H](c1c(O2)ccc(CC)c1)[NH2+]C[C@@H](O)[C@@H]1Cc2cc(ccc2)CCCCn2cc(ccc2=O)C(=O)N1
986,3fl8,Nc1c(C[C@H]2C[C@H](OC)[C@@H](OC)[C@@H](/C=C\C(=O)N3[NH2+]Cc4c([C@@H]3CCC)cccc4)C2)c[n]c(N)[n]1
1821,2cmb,c1c(ccc(c1)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N)Cc1ccc(C2=CC(=O)NS2(=O)=O)cc1)Cc1ccccc1)C1=CC(=O)NS1(=O)=O
11393,1cbx,[C-](=O)(=O)C[C@H]([C-](=O)=O)Cc1ccccc1
7184,4xuz,c1ccc(CC(=O)N[C@H]2CC[C@@H](C[C-](=O)=O)OB2O)s1
8023,3m55,C(=O)(C)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCC[NH2+]C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)C)CCC[NH3+])C[C-](=O)=O)CO)CCCC[NH3+])CO
884,2q9m,CC[C@H](C=O)[C@@H]1NC(=C2[C@@H]1CCC[C@@H]2OC)[C-](=O)=O
5168,2xhs,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](/C/1=N/[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CC(=O)N)[C@H](O)C)C[C@@H](C)CO1)CC(C)C)C)CCC[NH]=[C+](=[NH2])=[NH2])CC(C)C)[C@H](O)C)CO
1150,4w4v,c1cc(cc(C(=O)Nc2cc[n]c(C)c2)c1)n1cc(cn1)NC(=O)Nc1ccccc1Cl
4981,3udv,[C@@H]1(O[C@@H](n2cnc3c(N)[n]c[n]c23)[C@@H]([C@@H]1O)O)CS[C@H]1CC[N+](CC1)CCNC(=O)C1=N[C@@H]2C(=O)N[C+](=[NH2])NC2=NC1(C)C
8908,2y1n,[NH3+][C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H]([C-](=O)=O)C)CCC2)CC[C-](=O)=O)CCC1)[C@H](O)C)Cc1ccc(cc1)O[P](=O)(=O)=O)C[C-](=O)=O)CO
7704,1rw8,c1(c(nn2c1CCC2)c1cccc([n]1)C)c1ccc(cc1)F
995,3bc3,C(C(=O)N[C@@H](CSCc1ccccc1)C(=O)N[C@H](C/C=C/[NH]=[C+](=[NH2])=[NH2])C(=O)N[C@H](C(=O)NCCc1ccccc1)Cc1ccc(cc1)O)c1ccc([C@@H]2C=CCCC2)cc1
6467,2np8,O=C(C1CC1)Nc1cc(ccc1)Nc1[n]ccc([n]1)Nc1cc(C(F)(F)F)ccc1
5105,1fta,[P](=O)(=O)(=O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12
9650,2wva,O=[P](=O)(=O)OP(=O)(=O)OCCc1c(C)n(nn1)Cc1cnc(C)nc1N
9646,2wq5,O=C(N)[C@H]1C(=O)[C@@]2([C@H]([C@@H]([C@H]1O)[NH+](C)C)C[C@H]1C(=C2O)C(=O)c2c(C1)c(ccc2O)N(C)C)O
1180,1hv5,NC(=O)[C@@H](NC(=O)[C@H](CCCc1ccccc1)CP(=O)(=O)[C@H](NC(=O)OCc1ccccc1)Cc1ccccc1)Cc1c2c([nH]c1)cccc2
5406,3b9g,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c(=O)[nH]cnc12
1249,4ge2,C(=O)(C)N[C@H](C(=O)N[C@H](C(=O)N)CCCNC(=O)c1cccc(c1)I)Cc1ccc(cc1)C(F)(F)[P](=O)(=O)=O
9475,4aqh,CC(C)(C)OC(=O)N1CC(C1)/[NH]=[c+]\1/[nH]c(=O)c2ccc[n]c2[nH]1
6008,4h5c,O=[P](=O)(=O)C([P](=O)(=O)=O)Nc1cc(ccn1)c1ccc(cc1)OC(C)C
5335,2b7f,C(=O)(C)N[C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@H]([C-](=O)=O)CCC2)Cc2nc[nH]c2)CCSC)C(C)C)C(C)C)CCC(=O)N)CCC1)C
4221,2vr4,C(C[NH3+])CCNC1=N[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)CO
10963,3jzh,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCC[N+](C)(C)C)C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)C[C-](=O)=O)[C@H](O)C)Cc1ccccc1)C[C-](=O)=O
5334,2ay6,[nH]1cc(c2ccccc12)CCC[C-](=O)=O
7569,3tdu,C(=O)(C)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CC[C-](=O)=O)CC[C-](=O)=O)CC[C-](=O)=O)CCCC[NH3+])CCCC[NH3+])CCC(=O)N)CCC(=O)N)CCCC[NH3+])CC(C)C)CO)Cc1ccccc1)CC(C)C)CCCC[NH3+])[C@H](CC)C)CCSC
8280,4eu3,[C-](=O)(=O)CC(O)(C[C-](=O)=O)[C-](=O)=O
229,4ryc,C(=O)(N(C(C)C)C[C@@H]1C[NH2+]C[C@H]1NS(=O)(=O)c1ccc(cc1)C)c1ccc(c(c1)OCCCOC)OC
5699,3g5v,[NH3+][C@@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CSSC1)CCCC[NH3+])CCC[NH]=[C+](=[NH2])=[NH2])C(C)C)C[C-](=O)=O)CC[C-](=O)=O)CC[C-](=O)=O)CCSC)CC[C-](=O)=O)Cc1ccc(cc1)O)CO)C[C-](=O)=O)C
10739,3w5n,[C@@H]1([C@@H]([C@@H]([C@H]([C@H](C)O1)O)O)O)O
8728,2gg9,O=C([C@H]([C@@H](c1ccc(C(C)C)cc1)[NH3+])O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)OC
9049,1mqd,o1[nH]c(=O)c(c1)C[C@H]([NH3+])[C-](=O)=O
5309,1juq,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C=O)CC(C)C)CC(C)C)Cc1[nH]cnc1)C[C-](=O)=O)C[C-](=O)=O
4571,1lcj,[NH3+][C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CC(C)C)Cc3ccc(cc3)O)[C@H](CC)C)CCC2)[C@H](CC)C)CC[C-](=O)=O)CC[C-](=O)=O)Cc2ccc(cc2)O)CCC(=O)N)CCC1)CC[C-](=O)=O
10664,2g9q,O[C@H]1[C@H](O)C[NH2+][C@@H]1CO
5585,3hxd,c1cc(O)ccc1C[C@@H](C(=O)NO)NC(=O)[C@H](Cc1ccccc1)N(C)C(=O)[C@H](Cc1c[nH]cn1)NC(=O)OCc1ccccc1
3369,3csl,[CH]1c2c(c(c3[CH]c4c(c(c5[CH]c6c(c(c7[CH]c8c(c(c1n8[Fe@@](n23)(n45)n67)CC[C-](=O)=O)C)C=C)C)C=C)C)C)CC[C-](=O)=O
8265,4ep2,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)C[C-](=O)=O)C(C)C)Cc1ccc(cc1)O)Cc1ccccc1)[C@H](O)C)CC[C-](=O)=O)C
3563,4cmt,c1(c([n]cc(c1)c1cc(ccc1)S(=O)(=O)C)N)O[C@@H](c1c(ccc(c1)F)n1nccn1)C
2843,1d7x,c1(ccc(cc1)OC)S(=O)(=O)N1[C@H](C/C(=N\OC)/C1)C(=O)NO
744,1oxq,[NH3+][C@H](C(=O)N[C@H](C(=O)N1[C@H](C(=O)N[C@H]([C-](=O)=O)[C@H](CC)C)CCC1)C(C)C)C
5534,1bmm,c1(cc2ccccc2cc1)S(=O)(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1CNC(=O)CCC[NH]=[C+](=[NH2])=[NH2]
3354,2xpa,c1ccccc1c1nc(c([nH]1)[C-](=O)=O)C(=O)N(C)CC(=O)N
4928,2ke1,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CO)CCCC[NH3+])CCC[NH]=[C+](=[NH2])=[NH2])C)[C@H](O)C)CCC(=O)N)CCCC[NH3+])[C@H](O)C)CCC[NH]=[C+](=[NH2])=[NH2])C
3411,3nzi,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(C)C)B(O)O)CC(C)C)C)Cc1ccccc1)CCSC
5570,1o3g,c1(ccc2c(c1)cc([nH]2)c1cccc(c1O)c1ccccc1)[C+](=[NH2])=[NH2]
2560,1qj6,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc2ccc(cc2)OS(=O)(=O)O)C(=O)N[C@H]([C-](=O)=O)CC(C)C)CC[C-](=O)=O)CC[C-](=O)=O)CCC1)[C@H](CC)C)CC[C-](=O)=O)CC[C-](=O)=O)Cc1ccccc1)C[C-](=O)=O
8471,1lqd,c1cc2c(c(c1)C)cc(n2Cc1cccc(c1)[C+](=[NH2])=[NH2])C(=O)NCc1cc(cc(c1)C)C
6966,3dtc,c12c(c3c(c4c1ccc1c4ccc(c1)OC(C)C)C(=O)N=C3)c1c(n2CCO)cccc1
3195,4oyo,Cc1c(cn[nH]1)c1c(cccc1)Cl
3198,4oyt,N1=C2[C@@H](C(=O)N[C+]1=[NH2])N([C@@H](CN2)CNc1ccc(cc1)C(=O)N[C@@H](CC[C-](=O)=O)[C-](=O)=O)C=O
1115,3v4v,c1(C2C(CC(C)N(C2O)C)C(F)(F)F)ccc(C[C@H](NC(=O)c2c(cccc2Cl)Cl)[C-](=O)=O)cc1
5640,4kz8,CCn1c(O)cc(=O)n(CC)c1=S
2902,1o6q,C=CC[N@@H+](C/C=C/COc1cc2occ(c2cc1)c1ccc(cc1)Br)C
1172,1hrn,[C@H]([C@H](Cc1ccccc1)O)(O)C[C@H](C(=O)N[C@H]([C@@H](O)[C@H](CC(C)C)O)CC1CCCCC1)CC1CC1
10122,1d7i,[S@](=O)(C)CSC
10489,3q6w,c12c([n]cc(c2)c2cn(nc2)C2CC[NH2+]CC2)ccc2c(c1=O)cc(cc2)CCC(=O)NCc1[n]cccc1
8615,3fa3,O=[C-](=O)C(O)(O)C(F)(F)[C-](=O)=O
7711,4btu,c1cc(Cl)sc1C(=O)NC[C@@H](C(=O)N1CC[N@H+](C)CC1)NS(=O)(=O)c1c(Cl)c(cc(c1)F)N1CCCCC1=O
9707,4c2v,c1c(F)cccc1NC(=O)Cc1cc(n[nH]1)Nc1[n]c[n]c2cc(ccc12)OCCC[N@H+](CC)CCO
7354,2i3z,c1(=O)c2c(c(=O)n1C)n(c(N1C[C@H](CCC1)[NH3+])n2)Cc1ccccc1C#N
10535,3n3j,c1(S(=O)(=O)N)ccc(cc1)NC(=O)Nc1c(cccc1)C(C)C
498,4yad,N(c1cc2CCC(=O)N(C)c2cc1)S(=O)(=O)c1c(OC)cc(OC)cc1
